tc_day,tc_date,beta1,beta2,e_mult,i_mult,R_before,R_after,SSE,RMSE,R2,AIC,BIC
25,2025-05-26,0.28789726372134855,0.17092015614298908,1.052339938704118,0.9829197733172457,1.4394863186067426,0.8546007807149454,936837722.4109795,2474.494366269443,0.7676553064855042,2401.0201554484383,2416.1723450554005
26,2025-05-27,0.2836316417873304,0.171709482837936,1.0400046712022193,0.97677568085574,1.418158208936652,0.85854741418968,917640446.8825552,2449.009999902929,0.7724164139775105,2397.8523769022713,2413.0045665092334
27,2025-05-28,0.2836484207155872,0.16649790706840117,1.0402148097456771,0.9767767811129371,1.418242103577936,0.8324895353420059,996477400.3256768,2552.0431393562185,0.7528640973412649,2410.4627618282266,2425.6149514351887
28,2025-05-29,0.28336510006428783,0.16663674423729075,1.0418891031702515,0.9768409820283094,1.4168255003214392,0.8331837211864537,1337952287.4015071,2957.158465853109,0.6681750673389852,2455.547137198562,2470.699326805524
29,2025-05-30,0.2817121691729784,0.16160400502221683,1.0414791762942648,0.9619013648377508,1.408560845864892,0.8080200251110842,1380083480.319432,3003.3570327452044,0.657726129522174,2460.290701599419,2475.4428912063813
30,2025-05-31,0.2817121910395556,0.1616040046813673,1.0414791984692675,0.9619013516587009,1.4085609551977778,0.8080200234068364,1847228436.2844982,3474.678182572841,0.5418697234188645,2504.8966861799213,2520.0488757868834
31,2025-06-01,0.2801591669949841,0.1625961268097397,1.0382506062468662,0.939098897132832,1.4007958349749206,0.8129806340486985,2109335290.7449968,3713.0183366458014,0.47686472275455805,2525.197720155068,2540.34990976203
32,2025-06-02,0.2801591692954053,0.16259612678602325,1.0382506021903657,0.9390988861902436,1.4007958464770265,0.8129806339301162,2770445046.6162925,4255.288940226312,0.3129031956588606,2566.9108910929185,2582.0630806998806
33,2025-06-03,0.27108337463209764,0.16806335166569564,1.0557358138700452,0.9531372717258312,1.355416873160488,0.8403167583284782,2304129484.6280637,3880.6790429215284,0.42855390414267713,2538.7122210802777,2553.86441068724
34,2025-06-04,0.271052595521112,0.16806162940434655,1.0566021855486236,0.9524152510840973,1.3552629776055598,0.8403081470217327,2919926245.1325374,4368.579318531845,0.27583043222865333,2574.951099768833,2590.103289375795
35,2025-06-05,0.2581686157712082,0.16912410160429253,1.0428298141555234,0.9484525075550347,1.290843078856041,0.8456205080214626,1425435616.9675524,3052.306121593744,0.646478366929292,2465.2377229375247,2480.389912544487
36,2025-06-06,0.25814245736165586,0.16912241841586484,1.0433547133862962,0.9480983711217116,1.2907122868082792,0.8456120920793242,1731104145.3338292,3363.689370119137,0.570669655514986,2494.962865280695,2510.115054887657
37,2025-06-07,0.2579541813393131,0.16716183957226263,1.0442100646793107,0.9506420334008322,1.2897709066965652,0.8358091978613131,1976501887.5394356,3594.205474156121,0.5098086741113164,2515.245940567744,2530.3981301747062
38,2025-06-08,0.2577487285847026,0.16718695157309973,1.0462240884555418,0.9498926446382728,1.2887436429235128,0.8359347578654986,2380982539.3292933,3944.8672197220035,0.409493613322773,2543.7321959036076,2558.8843855105697
39,2025-06-09,0.25774938577958334,0.16718609066676707,1.0461938436322418,0.9492308102774265,1.2887469288979165,0.8359304533338353,2872063169.180667,4332.626766815627,0.28770093172570477,2572.4223598847343,2587.5745494916964
40,2025-06-10,0.25855186561283505,0.16399007789227596,1.048015428684398,0.9486173943113193,1.2927593280641752,0.8199503894613798,3346434492.1099644,4676.763930696505,0.1700523176685924,2595.8106746729304,2610.9628642798925
41,2025-06-11,0.25855188285249503,0.16399007758569445,1.0480151424046515,0.9486173498450349,1.292759414262475,0.8199503879284722,3996875636.65045,5111.102637805853,0.008736707972018198,2622.986154735792,2638.138344342754
42,2025-06-12,0.2557391599076231,0.16047125054733366,1.0445649885453094,0.9488505627685851,1.2786957995381154,0.8023562527366682,3530643619.8364506,4803.759162409614,0.12436669645552256,2604.009139062072,2619.161328669034
43,2025-06-13,0.25442880907391363,0.16219348586265175,1.0443322185825425,0.9483310279924718,1.272144045369568,0.8109674293132587,3866690459.4903774,5027.174819253434,0.04102387400280505,2617.9197123792464,2633.0719019862086
44,2025-06-14,0.2544198127335695,0.16219300124884764,1.044594555739726,0.9482061112994955,1.2720990636678475,0.8109650062442382,4514103190.968104,5431.753163079867,-0.11954066036015498,2641.6052714457264,2656.7574610526885
45,2025-06-15,0.2523878486114959,0.15031524222936368,1.045286271019225,0.954135689484619,1.2619392430574794,0.7515762111468184,3944965674.9579124,5077.803597896425,0.021610873744039694,2620.986029844162,2636.1382194511243
