Date,Observed,Predicted,Residual,Weekday
2025-07-19,6254.480286738352,6995.074683180777,-740.594396442425,Saturday
2025-07-20,5331.541218637993,6881.811795701645,-1550.2705770636521,Sunday
2025-07-21,6738.351254480287,6770.370187716884,-32.01893323659715,Monday
2025-07-22,8817.20430107527,6660.722248741099,2156.4820523341705,Tuesday
2025-07-23,7607.52688172043,6552.8389180257445,1054.687963694685,Wednesday
2025-07-24,7526.8817204301085,6446.6868488703385,1080.19487155977,Thursday
2025-07-25,7491.039426523298,6342.253245858103,1148.7861806651954,Friday
2025-07-26,5600.358422939069,6239.5058495863805,-639.1474266473115,Saturday
2025-07-27,5331.541218637993,6138.411436020489,-806.8702173824968,Sunday
2025-07-28,7930.10752688172,6038.944887623889,1891.162639257831,Monday
2025-07-29,7383.512544802868,5941.094169529248,1442.4183752736208,Tuesday
2025-07-30,7016.129032258065,5844.816773995198,1171.3122582628675,Wednesday
2025-07-31,7078.853046594982,5750.081703014066,1328.7713435809155,Thursday
2025-08-01,7160.714285714284,5656.858793289168,1503.8554924251166,Friday
2025-08-02,5133.928571428573,5565.125664472813,-431.1970930442394,Saturday
2025-08-03,5205.357142857141,5474.895109189907,-269.5379663327658,Sunday
2025-08-04,5000.000000000001,5386.126369112218,-386.1263691122167,Monday
2025-08-05,9794.642857142857,5298.787779461173,4495.855077681684,Tuesday
2025-08-06,7080.357142857142,5212.859246088937,1867.4978967682055,Wednesday
2025-08-07,6491.071428571425,5128.314771179063,1362.7566573923614,Thursday
2025-08-08,6982.142857142857,5045.135891989711,1937.0069651531458,Friday
2025-08-09,4982.142857142856,4963.301006409432,18.8418507334236,Saturday
2025-08-10,4741.071428571428,4882.787031735806,-141.71560316437717,Sunday
2025-08-11,7008.928571428571,4803.573163520079,2205.3554079084915,Monday
2025-08-12,6392.857142857141,4725.746781871793,1667.110360985348,Tuesday
2025-08-13,6258.928571428569,4649.0794819118455,1609.8490895167233,Wednesday
2025-08-14,5973.214285714285,4573.638018892239,1399.576266822046,Thursday
2025-08-15,6241.071428571428,4499.306152161257,1741.7652764101713,Friday
2025-08-16,4258.928571428571,4426.045289808232,-167.1167183796615,Saturday
2025-08-17,4330.357142857141,4354.209509458579,-23.852366601438007,Sunday
2025-08-18,6241.071428571428,4283.738795486,1957.3326330854288,Monday
2025-08-19,5517.857142857142,4214.255066300137,1303.6020765570056,Tuesday
2025-08-20,5383.92857142857,4145.840977758821,1238.0875936697485,Wednesday
2025-08-21,5133.928571428571,4078.5267266156616,1055.401844812909,Thursday
2025-08-22,5258.928571428571,4012.3065705620684,1246.6220008665023,Friday
2025-08-23,3526.785714285713,3947.172128789965,-420.3864145042521,Saturday
2025-08-24,3535.714285714286,3883.0737334545233,-347.35944774023756,Sunday
2025-08-25,5133.928571428571,3820.027882057428,1313.9006893711426,Monday
2025-08-26,4419.642857142856,3757.992673455225,661.6501836876309,Tuesday
2025-08-27,4330.357142857142,3696.962251714384,633.3948911427583,Wednesday
2025-08-28,4035.714285714284,3636.9317612837535,398.78252443053043,Thursday
2025-08-29,4151.785714285713,3577.8641423220747,573.9215719636381,Friday
2025-08-30,2839.285714285713,3519.7574516618156,-680.4717373761027,Saturday
2025-08-31,2687.499999999998,3462.5901738746556,-775.0901738746575,Sunday
2025-09-01,3860.58981233244,3406.3402585385834,454.24955379385665,Monday
2025-09-02,3510.277033065237,3351.007088588644,159.26994447659308,Tuesday
2025-09-03,3306.5236818588032,3296.5789463914466,9.944735467356622,Wednesday
2025-09-04,3417.336907953531,3243.027241014736,174.3096669387951,Thursday
2025-09-05,3295.799821268992,3190.33387889117,105.4659423778221,Friday
2025-09-06,2241.28686327078,3138.4816538575105,-897.1947905867305,Saturday
2025-09-07,2141.197497765864,3087.4747450978493,-946.2772473319856,Sunday
2025-09-08,3356.568364611261,3037.3063380712642,319.2620265399969,Monday
2025-09-09,2945.487042001788,2987.950795522984,-42.463753521196395,Tuesday
2025-09-10,2716.711349419125,2939.395692076441,-222.68434265731594,Wednesday
2025-09-11,2841.823056300269,2891.624324079836,-49.80126777956684,Thursday
2025-09-12,2788.203753351206,2844.6280191543046,-56.42426580309848,Friday
2025-09-13,1905.2725647899936,2798.394887865521,-893.1223230755274,Saturday
2025-09-14,1676.4968722073295,2752.9105017697902,-1076.4136295624608,Sunday
2025-09-15,2634.4950848972308,2708.1634232779966,-73.66833838076582,Monday
2025-09-16,2284.182305630028,2664.187151556462,-380.004845926434,Tuesday
2025-09-17,2166.2198391420925,2620.8797799688764,-454.6599408267839,Wednesday
2025-09-18,2026.8096514745323,2578.2662164497187,-551.4565649751864,Thursday
2025-09-19,1966.0411081322625,2536.2230859349015,-570.181977802639,Friday
2025-09-20,1390.5272564790018,2494.951042952109,-1104.4237864731074,Saturday
2025-09-21,1276.13941018767,2454.467957807891,-1178.328547620221,Sunday
2025-09-22,2026.8096514745323,2414.6107604503163,-387.801108975784,Monday
2025-09-23,1747.9892761394117,2375.349110917747,-627.3598347783354,Tuesday
2025-09-24,1576.4075067024148,2336.7244124888443,-760.3169057864295,Wednesday
2025-09-25,1583.5567470956228,2298.721690109605,-715.1649430139821,Thursday
2025-09-26,1554.95978552279,2261.346343548875,-706.3865580260851,Friday
2025-09-27,943.699731903488,2224.5710528001655,-1280.8713208966774,Saturday
2025-09-28,1379.8033958891886,2188.3931066386867,-808.5897107494982,Sunday
2025-09-29,1294.0125111706898,2152.810487294197,-858.7979761235074,Monday
2025-09-30,1447.7211796246677,2117.7982582159807,-670.077078591313,Tuesday
