replicate,seed,success,error,change_index,change_date,beta1,beta2,e_mult,i_mult,R_before,R_after,optimizer_success,SSE,RMSE,R2,AIC,BIC
237,3783125122,True,,20,2025-05-21,0.2669697528470605,0.17733831989259832,1.0003605181550121,1.000041820960263,1.3348487642353024,0.8866915994629916,True,544360083.3398558,1886.2420421136217,0.8565588539242375,2317.9565881012168,2333.108777708179
238,1773065017,True,,19,2025-05-20,0.27894548960685056,0.17613978390478358,0.9863196560695757,1.0090151978207575,1.3947274480342526,0.8806989195239179,True,867350732.4680648,2380.957587975684,0.7580411038790431,2389.2289582920826,2404.3811478990447
239,3925603621,True,,23,2025-05-24,0.2857996597051566,0.17445619455588385,1.0106037366166583,1.005616902837838,1.4289982985257828,0.8722809727794192,True,404298642.0668157,1625.5690648970992,0.8867849957954405,2272.4456475364,2287.597837143362
240,2507409521,True,,23,2025-05-24,0.2823797885150208,0.17616247305223273,0.9998529878748063,0.9975026880424972,1.411898942575104,0.8808123652611636,True,660553024.4409392,2077.8209809860296,0.8344260469572042,2347.5569555931343,2362.7091452000964
241,1576318641,True,,23,2025-05-24,0.2918298592323698,0.17571467126126722,1.0100453862618992,1.0161556380508965,1.459149296161849,0.878573356306336,True,453639209.3133974,1721.9065457727797,0.8821822710471195,2290.06334830684,2305.215537913802
242,344735336,True,,21,2025-05-22,0.2864988305103409,0.17531129348407182,1.0001479251130942,1.0013332990666202,1.4324941525517045,0.8765564674203591,True,457088840.5822753,1728.4411363930376,0.8840075935723022,2291.2224124387617,2306.374602045724
243,2357311949,True,,18,2025-05-19,0.2728907405030016,0.17674420967994925,0.9810509806310816,1.0197897045259727,1.3644537025150079,0.8837210483997462,True,490517266.17853296,1790.529308272071,0.8596530842507173,2302.021566768989,2317.173756375951
244,2247749284,True,,22,2025-05-23,0.27727473012285886,0.1739884180852941,0.9927109536246354,0.999477564678533,1.3863736506142943,0.8699420904264705,True,583575276.6340733,1953.0021746890984,0.8579191937751283,2328.5996515827715,2343.7518411897336
245,81153300,True,,24,2025-05-25,0.2799649380903254,0.17743745940044006,1.013202105833645,1.0046082810425572,1.399824690451627,0.8871872970022002,True,331253378.4092511,1471.4125053311116,0.9115086354026152,2241.9573005571124,2257.1094901640745
246,3892344150,True,,24,2025-05-25,0.27994004080913626,0.17622423082561917,1.0001159251568743,0.9971746454995697,1.3997002040456812,0.8811211541280958,True,586082480.4441488,1957.1930020688756,0.853491964384185,2329.2555746818834,2344.4077642888456
